ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Gypsy
ltr-1_family-103	LTR	Unknown
ltr-1_family-104	LTR	Pao
ltr-1_family-105	LTR	Unknown
ltr-1_family-106	LTR	Gypsy
ltr-1_family-107	LTR	Unknown
ltr-1_family-108	LTR	Unknown
ltr-1_family-109	LTR	Unknown
ltr-1_family-110	LTR	Unknown
ltr-1_family-12	RC	Helitron
ltr-1_family-111	LTR	ERVK
ltr-1_family-112	LTR	Unknown
ltr-1_family-113	LTR	Pao
ltr-1_family-114	LTR	Unknown
ltr-1_family-115	LTR	Pao
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Pao
ltr-1_family-119	LTR	Unknown
ltr-1_family-120	LTR	Pao
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	LTR	Unknown
ltr-1_family-122	LTR	Pao
ltr-1_family-123	DNA	TcMar-Mariner
ltr-1_family-124	LINE	CR1
ltr-1_family-125	LTR	Unknown
ltr-1_family-126	LTR	Pao
ltr-1_family-127	LTR	Unknown
ltr-1_family-128	LTR	Pao
ltr-1_family-129	LTR	Unknown
ltr-1_family-130	LTR	Gypsy
ltr-1_family-14	LTR	Unknown
ltr-1_family-131	LTR	Unknown
ltr-1_family-132	LTR	Copia
ltr-1_family-133	LTR	Unknown
ltr-1_family-134	LTR	Pao
ltr-1_family-135	LTR	Unknown
ltr-1_family-136	LTR	Gypsy
ltr-1_family-137	LTR	Unknown
ltr-1_family-138	LTR	Pao
ltr-1_family-139	LTR	Unknown
ltr-1_family-140	DNA	TcMar-Mariner
ltr-1_family-15	LTR	Unknown
ltr-1_family-141	LTR	Unknown
ltr-1_family-142	LTR	Gypsy
ltr-1_family-143	LTR	Unknown
ltr-1_family-144	LTR	Pao
ltr-1_family-145	LTR	Unknown
ltr-1_family-146	LTR	Pao
ltr-1_family-147	LTR	Unknown
ltr-1_family-148	LTR	Pao
ltr-1_family-149	LTR	Pao
ltr-1_family-150	LTR	Unknown
ltr-1_family-16	LTR	Pao
ltr-1_family-151	LTR	Unknown
ltr-1_family-152	LTR	Unknown
ltr-1_family-153	LTR	Unknown
ltr-1_family-154	LTR	Gypsy
ltr-1_family-155	LTR	Unknown
ltr-1_family-156	LTR	Gypsy
ltr-1_family-157	LTR	Unknown
ltr-1_family-158	LTR	Gypsy
ltr-1_family-159	LTR	Unknown
ltr-1_family-160	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-161	LTR	Unknown
ltr-1_family-162	LTR	Pao
ltr-1_family-163	LTR	Unknown
ltr-1_family-164	LINE	Penelope
ltr-1_family-165	LTR	Pao
ltr-1_family-166	LTR	Unknown
ltr-1_family-167	LTR	Pao
ltr-1_family-168	LTR	Unknown
ltr-1_family-169	LTR	Pao
ltr-1_family-170	LTR	Unknown
ltr-1_family-18	LTR	Pao
ltr-1_family-171	LTR	Unknown
ltr-1_family-172	LTR	Pao
ltr-1_family-173	LTR	Unknown
ltr-1_family-174	LTR	Unknown
ltr-1_family-175	LTR	Unknown
ltr-1_family-176	LTR	Gypsy
ltr-1_family-177	LTR	Unknown
ltr-1_family-178	LTR	Pao
ltr-1_family-179	LTR	Unknown
ltr-1_family-180	DNA	TcMar-Mariner
ltr-1_family-19	LTR	Unknown
ltr-1_family-181	LTR	Unknown
ltr-1_family-182	LTR	Gypsy
ltr-1_family-183	LTR	Unknown
ltr-1_family-184	LTR	Pao
ltr-1_family-185	LTR	Unknown
ltr-1_family-186	LTR	Pao
ltr-1_family-187	LTR	Unknown
ltr-1_family-188	LTR	Gypsy
ltr-1_family-189	LTR	Unknown
ltr-1_family-190	LTR	Pao
ltr-1_family-20	LTR	Pao
ltr-1_family-191	LTR	Unknown
ltr-1_family-192	LTR	Pao
ltr-1_family-193	LTR	Unknown
ltr-1_family-194	LTR	Unknown
ltr-1_family-195	LTR	Unknown
ltr-1_family-196	LTR	Gypsy
ltr-1_family-197	LTR	Unknown
ltr-1_family-198	LTR	Pao
ltr-1_family-199	LTR	Unknown
ltr-1_family-200	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-201	LTR	Pao
ltr-1_family-202	LTR	Unknown
ltr-1_family-203	LTR	Gypsy
ltr-1_family-204	LTR	Unknown
ltr-1_family-205	LTR	Unknown
ltr-1_family-206	LTR	Unknown
ltr-1_family-207	LTR	Pao
